CATEGORY#;CATEGORY;BJCP#;BEERSTYLE;OGMIN;OGMAX;FGMIN;FGMAX;ABVMIN;ABVMAX;IBUMIN;IBUMAX;SRMMIN;SRMMAX
1;Standard American Beer;1A;American Light Lager;1,028;1,040;0,998;1,008;2,8;4,2;8;12;2;3
1;Standard American Beer;1B;American Lager;1,040;1,050;1,004;1,010;4,2;5,3;8;18;2;3,5
1;Standard American Beer;1C;Cream Ale;1,042;1,055;1,006;1,012;4,2;5,6;8;20;2,5;5
1;Standard American Beer;1D;American Wheat Beer;1,040;1,055;1,008;1,013;4,0;5,5;15;30;3;6
2;International Lager;2A;International Pale Lager;1,042;1,050;1,008;1,012;4,5;6,0;18;25;2;6
2;International Lager;2B;International Amber Lager;1,042;1,055;1,008;1,014;4,5;6,0;8;25;6;14
2;International Lager;2C;International Dark Lager;1,044;1,056;1,008;1,012;4,2;6,0;8;20;14;30
3;Czech Lager;3A;Czech Pale Lager;1,028;1,044;1,008;1,014;3,0;4,1;20;35;3;6
3;Czech Lager;3B;Czech Premium Pale Lager;1,044;1,060;1,013;1,017;4,2;5,8;30;45;3,5;6
3;Czech Lager;3C;Czech Amber Lager;1,044;1,060;1,013;1,017;4,4;5,8;20;35;10;16
3;Czech Lager;3D;Czech Dark Lager;1,044;1,060;1,013;1,017;4,4;5,8;18;34;17;35
4;Pale Malty European Lager;4A;Munich Helles;1,044;1,048;1,006;1,012;4,7;5,4;16;22;3;5
4;Pale Malty European Lager;4B;Festbier;1,054;1,057;1,010;1,012;5,8;6,3;18;25;4;6
4;Pale Malty European Lager;4C;Helles Bock;1,064;1,072;1,011;1,018;6,3;7,4;23;35;6;9
5;Pale Bitter European Beer;5A;German Leichtbier;1,026;1,034;1,006;1,010;2,4;3,6;15;28;1,5;4
5;Pale Bitter European Beer;5B;Kolsch;1,044;1,050;1,007;1,011;4,4;5,2;18;30;3,5;5
5;Pale Bitter European Beer;5C;German Helles Exportbier;1,050;1,058;1,008;1,015;5,0;6,0;20;30;4;6
5;Pale Bitter European Beer;5D;German Pils;1,044;1,050;1,008;1,013;4,4;5,2;22;40;2;4
6;Amber Malty European Lager;6A;Märzen;1,054;1,060;1,010;1,014;5,6;6,3;18;24;8;17
6;Amber Malty European Lager;6B;Rauchbier;1,050;1,057;1,012;1,016;4,8;6,0;20;30;12;22
6;Amber Malty European Lager;6C;Dunkles Bock;1,064;1,072;1,013;1,019;6,3;7,2;20;27;14;22
7;Amber Bitter European Beer;7A;Vienna Lager;1,048;1,055;1,010;1,014;4,7;5,5;18;30;9;15
7;Amber Bitter European Beer;7B;Altbier;1,044;1,052;1,008;1,014;4,3;5,5;25;50;9;17
8;Dark European Lager;8A;Munich Dunkel;1,048;1,056;1,010;1,016;4,5;5,6;18;28;17;28
8;Dark European Lager;8B;Schwarzbier;1,046;1,052;1,010;1,016;4,4;5,4;20;35;19;30
9;Strong European Beer;9A;Doppelbock;1,072;1,112;1,016;1,024;7,0;10,0;16;26;6;25
9;Strong European Beer;9B;Eisbock;1,078;1,120;1,020;1,035;9,0;14,0;25;35;17;30
9;Strong European Beer;9C;Baltic Porter;1,060;1,090;1,016;1,024;6,5;9,5;20;40;17;30
10;German Wheat Beer;10A;Weissbier;1,044;1,053;1,008;1,014;4,3;5,6;8;15;2;6
10;German Wheat Beer;10B;Dunkles Weissbier;1,044;1,057;1,008;1,014;4,3;5,6;10;18;14;23
10;German Wheat Beer;10C;Weizenbock;1,064;1,090;1,015;1,022;6,5;9,0;15;30;6;25
11;British Bitter;11A;Ordinary Bitter;1,030;1,039;1,007;1,011;3,2;3,8;25;35;8;14
11;British Bitter;11B;Best Bitter;1,040;1,048;1,008;1,012;3,8;4,6;25;40;8;16
11;British Bitter;11C;Strong Bitter;1,048;1,060;1,010;1,016;4,6;6,2;30;50;8;18
12;Pale Commonwealth Beer;12A;British Golden Ale;1,038;1,053;1,006;1,012;3,8;5,0;20;45;2;5
12;Pale Commonwealth Beer;12B;Australian Sparkling Ale;1,038;1,050;1,004;1,006;4,5;6,0;20;35;4;7
12;Pale Commonwealth Beer;12C;English IPA;1,050;1,070;1,010;0,015;5,0;7,5;40;60;6;14
13;Brown British Beer;13A;Dark Mild;1,030;1,038;1,008;1,013;3,0;3,8;10;25;14;25
13;Brown British Beer;13B;British Brown Ale;1,040;1,052;1,008;1,013;4,2;5,9;20;30;12;22
13;Brown British Beer;13C;English Porter;1,040;1,052;1,008;1,014;4,0;5,4;18;35;20;30
14;Scottish Ale;14A;Scottish Light;1,030;1,035;1,010;1,013;2,5;3,3;10;20;17;25
14;Scottish Ale;14B;Scottish Heavy;1,035;1,040;1,010;1,015;3,3;3,9;10;20;12;20
14;Scottish Ale;14C;Scottish Export;1,040;1,060;1,010;1,016;3,9;6,0;15;30;12;20
15;Irish Beer;15A;Irish Red Ale;1,036;1,046;1,010;1,014;3,8;5,0;18;28;9;14
15;Irish Beer;15B;Irish Stout;1,036;1,044;1,007;1,011;3,8;5,0;25;45;25;40
15;Irish Beer;15C;Irish Extra Stout;1,052;1,062;1,010;1,014;5,0;6,5;35;50;30;40
16;Dark British Beer;16A;Sweet Stout;1,044;1,060;1,012;1,024;4,0;6,0;20;40;30;40
16;Dark British Beer;16B;Oatmeal Stout;1,045;1,065;1,010;1,018;4,2;5,9;25;40;22;40
16;Dark British Beer;16C;Tropical Stout;1,056;1,075;1,010;1,018;5,5;8,0;30;50;30;40
16;Dark British Beer;16D;Foreign Extra Stout;1,056;1,075;1,010;1,018;6,3;8,0;50;70;30;40
17;Strong British Ale;17A;British Strong Ale;1,055;1,080;1,015;1,022;5,5;8,0;30;60;8;22
17;Strong British Ale;17B;Old Ale;1,055;1,088;1,015;1,022;5,5;9,0;30;60;10;22
17;Strong British Ale;17C;Wee Heavy;1,070;1,130;1,018;1,040;6,5;10,0;17;35;14;25
17;Strong British Ale;17D;English Barleywine;1,080;1,120;1,018;1,030;8,0;12,0;35;70;8;22
18;Pale American Ale;18A;Blonde Ale;1,038;1,054;1,008;1,013;3,8;5,5;15;28;3;6
18;Pale American Ale;18B;American Pale Ale;1,045;1,060;1,010;1,015;4,5;6,2;30;50;5;10
19;Amber & Brown American Beer;19A;American Amber Ale;1,045;1,060;1,010;1,015;4,5;6,2;25;40;10;17
19;Amber & Brown American Beer;19B;California Common;1,048;1,054;1,011;1,014;4,5;5,5;30;45;9;14
19;Amber & Brown American Beer;19C;American Brown Ale;1,045;1,060;1,010;1,016;4,3;6,2;20;30;18;35
20;American Porter & Stout;20A;American Porter;1,050;1,070;1,012;1,018;4,8;6,5;25;50;22;40
20;American Porter & Stout;20B;American Stout;1,050;1,075;1,010;1,022;5,0;7,0;35;75;30;40
20;American Porter & Stout;20C;Imperial Stout;1,075;1,115;1,018;1,030;8,0;12,0;50;90;30;40
21;IPA;21A;American IPA;1,056;1,070;1,008;1,014;5,5;7,5;40;70;6;14
21;IPA;21B;Belgian IPA;1,058;1,080;1,008;1,016;6,2;9,5;50;100;5;8
21;IPA;21B;Black IPA;1,050;1,085;1,010;1,018;5,5;9,0;50;90;25;40
21;IPA;21B;Brown IPA;1,056;1,070;1,008;1,016;5,5;7,5;40;70;18;35
21;IPA;21B;Red IPA;1,056;1,070;1,008;1,016;5,5;7,5;40;70;11;17
21;IPA;21B;Rye IPA;1,056;1,075;1,008;1,014;5,5;8,0;50;75;6;14
21;IPA;21B;White IPA;1,056;1,065;1,010;1,016;5,5;7,0;40;70;5;6
21;IPA;21B;Brut IPA;1,046;1,057;0,990;1,004;6,0;7,5;20;30;2;4
21;IPA;21C;Hazy IPA;1,060;1,085;1,010;1,015;6,0;9,0;25;60;3;7
22;Strong American Ale;22A;Double IPA;1,065;1,085;1,008;1,018;7,5;10,0;60;100;6;14
22;Strong American Ale;22B;American Strong Ale;1,062;1,090;1,014;1,024;6,3;10,0;50;100;7;18
22;Strong American Ale;22C;American Barleywine;1,080;1,120;1,016;1,030;8,0;12,0;50;100;9;18
22;Strong American Ale;22D;Wheatwine;1,080;1,120;1,016;1,030;8,0;12,0;30;60;6;14
23;European Sour Ale;23A;Berliner Weisse;1,028;1,032;1,003;1,006;2,8;3,8;3;8;2;3
23;European Sour Ale;23B;Flanders Red Ale;1,048;1,057;1,002;1,012;4,6;6,5;10;25;10;17
23;European Sour Ale;23C;Oud Bruin;1,040;1,074;1,008;1,012;4,0;8,0;20;25;17;22
23;European Sour Ale;23D;Lambic;1,040;1,054;1,001;1,010;5,0;6,5;0;10;3;6
23;European Sour Ale;23E;Gueuze;1,040;1,054;1,000;1,006;5,0;8,0;0;10;5;6
23;European Sour Ale;23F;Fruit Lambic;1,040;1,060;1,000;1,010;5,0;7,0;0;10;3;7
23;European Sour Ale;23G;Gose;1,036;1,056;1,006;1,010;4,2;4,8;5;12;3;4
24;Belgian Ale;24A;Witbier;1,044;1,052;1,008;1,012;4,5;5,5;8;20;2;4
24;Belgian Ale;24B;Belgian Pale Ale;1,048;1,054;1,010;1,014;4,8;5,5;20;30;8;14
24;Belgian Ale;24C;Bière de Garde;1,060;1,080;1,008;1,016;6,0;8,5;18;28;6;19
25;Strong Belgian Ale;25A;Belgian Blond Ale;1,062;1,075;1,008;1,018;6,0;7,5;15;30;4;6
25;Strong Belgian Ale;25B;Saison;1,048;1,065;1,002;1,008;5,0;7,0;20;35;5;14
25;Strong Belgian Beer;25C;Belgian Golden Strong Ale;1,070;1,095;1,005;1,016;7,5;10,5;22;35;3;6
26;Monastic Ale;26A;Belgian Single;1,044;1,054;1,004;1,010;4,8;6,0;25;45;3;5
26;Monastic Ale;26B;Belgian Dubbel;1,062;1,075;1,008;1,018;6,0;7,6;15;25;10;17
26;Monastic Ale;26C;Belgian Tripel;1,075;1,085;1,008;1,014;7,5;9,5;20;40;4,5;7
26;Monastic Ale;26D;Belgian Dark Strong Ale;1,075;1,110;1,010;1,024;8,0;12,0;20;35;12;22
27;Historical Beer;27;Kellerbier;1,045;1,051;1,008;1,012;4,7;5,4;20;35;3;7
27;Historical Beer;27;Kentucky Common;1,044;1,055;1,010;1,018;4,0;5,5;15;30;11;20
27;Historical Beer;27;Lichtenhainer;1,032;1,040;1,004;1,008;3,5;4,7;5;12;3;6
27;Historical Beer;27;London Brown Ale;1,033;1,038;1,012;1,015;2,8;3,6;15;20;22;35
27;Historical Beer;27;Piwo Grodziskie;1,028;1,032;1,006;1,012;2,5;3,3;20;35;3;6
27;Historical Beer;27;Pre!Prohibition Lager;1,044;1,060;1,010;1,015;4,5;6,0;25;40;3;6
27;Historical Beer;27;Pre!Prohibition Porter;1,046;1,060;1,010;1,016;4,5;6,0;20;30;20;30
27;Historical Beer;27;Roggenbier;1,046;1,056;1,010;1,014;4,5;6,0;10;20;14;19
27;Historical Beer;27;Sahti;1,076;1,120;1,016;1,038;7,0;11,0;0;15;4;22
